Category: All categories

Week,birch allergy: (United States)
2013-01-06,35
2013-01-13,26
2013-01-20,48
2013-01-27,34
2013-02-03,17
2013-02-10,30
2013-02-17,43
2013-02-24,23
2013-03-03,27
2013-03-10,30
2013-03-17,43
2013-03-24,53
2013-03-31,48
2013-04-07,81
2013-04-14,26
2013-04-21,17
2013-04-28,69
2013-05-05,88
2013-05-12,58
2013-05-19,57
2013-05-26,51
2013-06-02,48
2013-06-09,40
2013-06-16,27
2013-06-23,49
2013-06-30,65
2013-07-07,45
2013-07-14,49
2013-07-21,48
2013-07-28,26
2013-08-04,49
2013-08-11,22
2013-08-18,39
2013-08-25,47
2013-09-01,30
2013-09-08,50
2013-09-15,25
2013-09-22,26
2013-09-29,25
2013-10-06,17
2013-10-13,29
2013-10-20,30
2013-10-27,25
2013-11-03,38
2013-11-10,17
2013-11-17,29
2013-11-24,22
2013-12-01,56
2013-12-08,34
2013-12-15,43
2013-12-22,14
2013-12-29,14
2014-01-05,37
2014-01-12,22
2014-01-19,16
2014-01-26,11
2014-02-02,33
2014-02-09,28
2014-02-16,20
2014-02-23,43
2014-03-02,16
2014-03-09,40
2014-03-16,36
2014-03-23,32
2014-03-30,52
2014-04-06,57
2014-04-13,53
2014-04-20,66
2014-04-27,28
2014-05-04,49
2014-05-11,63
2014-05-18,50
2014-05-25,40
2014-06-01,67
2014-06-08,62
2014-06-15,60
2014-06-22,34
2014-06-29,56
2014-07-06,43
2014-07-13,19
2014-07-20,30
2014-07-27,26
2014-08-03,35
2014-08-10,52
2014-08-17,56
2014-08-24,37
2014-08-31,51
2014-09-07,66
2014-09-14,27
2014-09-21,27
2014-09-28,44
2014-10-05,31
2014-10-12,36
2014-10-19,18
2014-10-26,31
2014-11-02,35
2014-11-09,35
2014-11-16,22
2014-11-23,19
2014-11-30,23
2014-12-07,22
2014-12-14,50
2014-12-21,48
2014-12-28,34
2015-01-04,31
2015-01-11,17
2015-01-18,28
2015-01-25,30
2015-02-01,21
2015-02-08,52
2015-02-15,30
2015-02-22,25
2015-03-01,38
2015-03-08,61
2015-03-15,39
2015-03-22,38
2015-03-29,32
2015-04-05,44
2015-04-12,62
2015-04-19,53
2015-04-26,49
2015-05-03,100
2015-05-10,55
2015-05-17,42
2015-05-24,58
2015-05-31,57
2015-06-07,53
2015-06-14,43
2015-06-21,67
2015-06-28,34
2015-07-05,53
2015-07-12,46
2015-07-19,39
2015-07-26,61
2015-08-02,33
2015-08-09,47
2015-08-16,51
2015-08-23,46
2015-08-30,40
2015-09-06,37
2015-09-13,18
2015-09-20,35
2015-09-27,30
2015-10-04,17
2015-10-11,26
2015-10-18,29
2015-10-25,38
2015-11-01,0
2015-11-08,17
2015-11-15,58
2015-11-22,36
2015-11-29,16
2015-12-06,41
2015-12-13,40
2015-12-20,54
2015-12-27,37
2016-01-03,22
2016-01-10,28
2016-01-17,21
2016-01-24,43
2016-01-31,16
2016-02-07,38
2016-02-14,10
2016-02-21,28
2016-02-28,33
2016-03-06,45
2016-03-13,42
2016-03-20,35
2016-03-27,46
2016-04-03,45
2016-04-10,42
2016-04-17,42
2016-04-24,55
2016-05-01,62
2016-05-08,75
2016-05-15,40
2016-05-22,29
2016-05-29,45
2016-06-05,58
2016-06-12,18
2016-06-19,26
2016-06-26,30
2016-07-03,50
2016-07-10,19
2016-07-17,56
2016-07-24,33
2016-07-31,30
2016-08-07,47
2016-08-14,32
2016-08-21,46
2016-08-28,34
2016-09-04,22
2016-09-11,21
2016-09-18,56
2016-09-25,35
2016-10-02,34
2016-10-09,36
2016-10-16,39
2016-10-23,35
2016-10-30,31
2016-11-06,16
2016-11-13,27
2016-11-20,36
2016-11-27,29
2016-12-04,22
2016-12-11,39
2016-12-18,28
2016-12-25,40
2017-01-01,47
2017-01-08,32
2017-01-15,29
2017-01-22,51
2017-01-29,28
2017-02-05,35
2017-02-12,26
2017-02-19,44
2017-02-26,60
2017-03-05,49
2017-03-12,25
2017-03-19,32
2017-03-26,60
2017-04-02,41
2017-04-09,36
2017-04-16,45
2017-04-23,53
2017-04-30,69
2017-05-07,58
2017-05-14,86
2017-05-21,83
2017-05-28,43
2017-06-04,45
2017-06-11,43
2017-06-18,37
2017-06-25,50
2017-07-02,30
2017-07-09,33
2017-07-16,39
2017-07-23,56
2017-07-30,71
2017-08-06,70
2017-08-13,30
2017-08-20,62
2017-08-27,29
2017-09-03,45
2017-09-10,51
2017-09-17,35
2017-09-24,58
2017-10-01,44
2017-10-08,50
2017-10-15,58
2017-10-22,48
2017-10-29,41
2017-11-05,44
2017-11-12,25
2017-11-19,23
2017-11-26,29
2017-12-03,31
2017-12-10,47
2017-12-17,50
2017-12-24,17
