Category: All categories

Week,elm allergy: (United States)
2013-01-06,51
2013-01-13,0
2013-01-20,28
2013-01-27,25
2013-02-03,45
2013-02-10,43
2013-02-17,100
2013-02-24,45
2013-03-03,42
2013-03-10,57
2013-03-17,64
2013-03-24,34
2013-03-31,26
2013-04-07,25
2013-04-14,45
2013-04-21,28
2013-04-28,76
2013-05-05,44
2013-05-12,47
2013-05-19,52
2013-05-26,0
2013-06-02,52
2013-06-09,52
2013-06-16,60
2013-06-23,38
2013-06-30,37
2013-07-07,35
2013-07-14,44
2013-07-21,26
2013-07-28,26
2013-08-04,0
2013-08-11,28
2013-08-18,47
2013-08-25,64
2013-09-01,37
2013-09-08,24
2013-09-15,28
2013-09-22,43
2013-09-29,28
2013-10-06,58
2013-10-13,0
2013-10-20,0
2013-10-27,25
2013-11-03,49
2013-11-10,74
2013-11-17,0
2013-11-24,34
2013-12-01,46
2013-12-08,48
2013-12-15,43
2013-12-22,0
2013-12-29,39
2014-01-05,32
2014-01-12,55
2014-01-19,0
2014-01-26,23
2014-02-02,33
2014-02-09,46
2014-02-16,51
2014-02-23,50
2014-03-02,66
2014-03-09,43
2014-03-16,0
2014-03-23,23
2014-03-30,34
2014-04-06,36
2014-04-13,97
2014-04-20,44
2014-04-27,0
2014-05-04,41
2014-05-11,56
2014-05-18,39
2014-05-25,0
2014-06-01,70
2014-06-08,41
2014-06-15,0
2014-06-22,32
2014-06-29,30
2014-07-06,28
2014-07-13,28
2014-07-20,81
2014-07-27,41
2014-08-03,40
2014-08-10,28
2014-08-17,27
2014-08-24,41
2014-08-31,81
2014-09-07,52
2014-09-14,60
2014-09-21,48
2014-09-28,44
2014-10-05,75
2014-10-12,0
2014-10-19,30
2014-10-26,26
2014-11-02,47
2014-11-09,77
2014-11-16,26
2014-11-23,27
2014-11-30,25
2014-12-07,25
2014-12-14,27
2014-12-21,47
2014-12-28,0
2015-01-04,37
2015-01-11,29
2015-01-18,25
2015-01-25,0
2015-02-01,0
2015-02-08,54
2015-02-15,50
2015-02-22,43
2015-03-01,43
2015-03-08,58
2015-03-15,44
2015-03-22,31
2015-03-29,58
2015-04-05,74
2015-04-12,56
2015-04-19,38
2015-04-26,26
2015-05-03,0
2015-05-10,40
2015-05-17,55
2015-05-24,32
2015-05-31,47
2015-06-07,56
2015-06-14,0
2015-06-21,0
2015-06-28,29
2015-07-05,37
2015-07-12,56
2015-07-19,0
2015-07-26,28
2015-08-02,56
2015-08-09,28
2015-08-16,27
2015-08-23,29
2015-08-30,35
2015-09-06,53
2015-09-13,47
2015-09-20,83
2015-09-27,58
2015-10-04,37
2015-10-11,37
2015-10-18,25
2015-10-25,71
2015-11-01,50
2015-11-08,25
2015-11-15,25
2015-11-22,46
2015-11-29,0
2015-12-06,24
2015-12-13,36
2015-12-20,29
2015-12-27,39
2016-01-03,21
2016-01-10,27
2016-01-17,55
2016-01-24,41
2016-01-31,30
2016-02-07,27
2016-02-14,37
2016-02-21,71
2016-02-28,29
2016-03-06,22
2016-03-13,41
2016-03-20,53
2016-03-27,24
2016-04-03,22
2016-04-10,30
2016-04-17,37
2016-04-24,52
2016-05-01,59
2016-05-08,36
2016-05-15,54
2016-05-22,43
2016-05-29,50
2016-06-05,0
2016-06-12,0
2016-06-19,40
2016-06-26,22
2016-07-03,0
2016-07-10,22
2016-07-17,38
2016-07-24,43
2016-07-31,50
2016-08-07,39
2016-08-14,23
2016-08-21,41
2016-08-28,23
2016-09-04,64
2016-09-11,30
2016-09-18,60
2016-09-25,45
2016-10-02,44
2016-10-09,30
2016-10-16,45
2016-10-23,30
2016-10-30,40
2016-11-06,39
2016-11-13,40
2016-11-20,0
2016-11-27,19
2016-12-04,25
2016-12-11,29
2016-12-18,21
2016-12-25,39
2017-01-01,39
2017-01-08,32
2017-01-15,25
2017-01-22,20
2017-01-29,40
2017-02-05,27
2017-02-12,27
2017-02-19,28
2017-02-26,39
2017-03-05,27
2017-03-12,33
2017-03-19,27
2017-03-26,19
2017-04-02,34
2017-04-09,67
2017-04-16,19
2017-04-23,47
2017-04-30,56
2017-05-07,38
2017-05-14,23
2017-05-21,22
2017-05-28,28
2017-06-04,46
2017-06-11,51
2017-06-18,21
2017-06-25,36
2017-07-02,0
2017-07-09,82
2017-07-16,41
2017-07-23,0
2017-07-30,40
2017-08-06,57
2017-08-13,30
2017-08-20,33
2017-08-27,29
2017-09-03,54
2017-09-10,41
2017-09-17,97
2017-09-24,55
2017-10-01,40
2017-10-08,18
2017-10-15,41
2017-10-22,41
2017-10-29,47
2017-11-05,21
2017-11-12,37
2017-11-19,45
2017-11-26,46
2017-12-03,0
2017-12-10,21
2017-12-17,21
2017-12-24,42
