Category: All categories

Week,lime allergy: (United States)
2013-01-06,0
2013-01-13,16
2013-01-20,16
2013-01-27,32
2013-02-03,31
2013-02-10,16
2013-02-17,16
2013-02-24,0
2013-03-03,18
2013-03-10,0
2013-03-17,16
2013-03-24,0
2013-03-31,18
2013-04-07,0
2013-04-14,16
2013-04-21,18
2013-04-28,16
2013-05-05,35
2013-05-12,16
2013-05-19,23
2013-05-26,17
2013-06-02,18
2013-06-09,28
2013-06-16,41
2013-06-23,28
2013-06-30,17
2013-07-07,28
2013-07-14,24
2013-07-21,16
2013-07-28,16
2013-08-04,30
2013-08-11,0
2013-08-18,18
2013-08-25,16
2013-09-01,23
2013-09-08,17
2013-09-15,15
2013-09-22,42
2013-09-29,16
2013-10-06,61
2013-10-13,0
2013-10-20,47
2013-10-27,18
2013-11-03,17
2013-11-10,18
2013-11-17,17
2013-11-24,33
2013-12-01,17
2013-12-08,15
2013-12-15,0
2013-12-22,18
2013-12-29,32
2014-01-05,45
2014-01-12,0
2014-01-19,15
2014-01-26,29
2014-02-02,26
2014-02-09,16
2014-02-16,25
2014-02-23,0
2014-03-02,14
2014-03-09,15
2014-03-16,22
2014-03-23,19
2014-03-30,15
2014-04-06,15
2014-04-13,15
2014-04-20,23
2014-04-27,30
2014-05-04,45
2014-05-11,44
2014-05-18,100
2014-05-25,18
2014-06-01,32
2014-06-08,18
2014-06-15,36
2014-06-22,18
2014-06-29,0
2014-07-06,26
2014-07-13,26
2014-07-20,19
2014-07-27,32
2014-08-03,20
2014-08-10,19
2014-08-17,29
2014-08-24,29
2014-08-31,25
2014-09-07,16
2014-09-14,16
2014-09-21,18
2014-09-28,19
2014-10-05,24
2014-10-12,0
2014-10-19,16
2014-10-26,0
2014-11-02,32
2014-11-09,23
2014-11-16,0
2014-11-23,17
2014-11-30,0
2014-12-07,36
2014-12-14,17
2014-12-21,0
2014-12-28,18
2015-01-04,16
2015-01-11,21
2015-01-18,16
2015-01-25,27
2015-02-01,26
2015-02-08,0
2015-02-15,0
2015-02-22,17
2015-03-01,15
2015-03-08,16
2015-03-15,27
2015-03-22,0
2015-03-29,17
2015-04-05,16
2015-04-12,28
2015-04-19,16
2015-04-26,16
2015-05-03,24
2015-05-10,17
2015-05-17,31
2015-05-24,48
2015-05-31,25
2015-06-07,18
2015-06-14,17
2015-06-21,30
2015-06-28,36
2015-07-05,53
2015-07-12,25
2015-07-19,30
2015-07-26,23
2015-08-02,23
2015-08-09,17
2015-08-16,17
2015-08-23,34
2015-08-30,0
2015-09-06,19
2015-09-13,29
2015-09-20,16
2015-09-27,18
2015-10-04,16
2015-10-11,16
2015-10-18,0
2015-10-25,16
2015-11-01,46
2015-11-08,17
2015-11-15,16
2015-11-22,0
2015-11-29,30
2015-12-06,31
2015-12-13,16
2015-12-20,18
2015-12-27,0
2016-01-03,15
2016-01-10,14
2016-01-17,22
2016-01-24,15
2016-01-31,17
2016-02-07,18
2016-02-14,0
2016-02-21,25
2016-02-28,19
2016-03-06,15
2016-03-13,19
2016-03-20,26
2016-03-27,19
2016-04-03,32
2016-04-10,17
2016-04-17,29
2016-04-24,25
2016-05-01,28
2016-05-08,20
2016-05-15,13
2016-05-22,24
2016-05-29,23
2016-06-05,20
2016-06-12,15
2016-06-19,24
2016-06-26,14
2016-07-03,21
2016-07-10,28
2016-07-17,28
2016-07-24,54
2016-07-31,35
2016-08-07,14
2016-08-14,16
2016-08-21,14
2016-08-28,20
2016-09-04,19
2016-09-11,26
2016-09-18,13
2016-09-25,15
2016-10-02,18
2016-10-09,15
2016-10-16,17
2016-10-23,17
2016-10-30,13
2016-11-06,36
2016-11-13,31
2016-11-20,13
2016-11-27,0
2016-12-04,20
2016-12-11,12
2016-12-18,15
2016-12-25,27
2017-01-01,12
2017-01-08,24
2017-01-15,13
2017-01-22,15
2017-01-29,0
2017-02-05,12
2017-02-12,12
2017-02-19,35
2017-02-26,39
2017-03-05,26
2017-03-12,34
2017-03-19,21
2017-03-26,35
2017-04-02,58
2017-04-09,13
2017-04-16,20
2017-04-23,17
2017-04-30,21
2017-05-07,13
2017-05-14,14
2017-05-21,51
2017-05-28,33
2017-06-04,63
2017-06-11,36
2017-06-18,21
2017-06-25,30
2017-07-02,25
2017-07-09,22
2017-07-16,29
2017-07-23,19
2017-07-30,25
2017-08-06,22
2017-08-13,28
2017-08-20,35
2017-08-27,48
2017-09-03,13
2017-09-10,17
2017-09-17,18
2017-09-24,13
2017-10-01,13
2017-10-08,17
2017-10-15,34
2017-10-22,23
2017-10-29,21
2017-11-05,39
2017-11-12,17
2017-11-19,12
2017-11-26,38
2017-12-03,13
2017-12-10,11
2017-12-17,14
2017-12-24,45
