Category: All categories

Week,maple allergy: (United States)
2013-01-06,19
2013-01-13,55
2013-01-20,49
2013-01-27,27
2013-02-03,48
2013-02-10,25
2013-02-17,28
2013-02-24,56
2013-03-03,19
2013-03-10,28
2013-03-17,55
2013-03-24,63
2013-03-31,63
2013-04-07,21
2013-04-14,94
2013-04-21,70
2013-04-28,86
2013-05-05,70
2013-05-12,36
2013-05-19,39
2013-05-26,52
2013-06-02,22
2013-06-09,52
2013-06-16,43
2013-06-23,36
2013-06-30,21
2013-07-07,64
2013-07-14,45
2013-07-21,34
2013-07-28,39
2013-08-04,39
2013-08-11,50
2013-08-18,22
2013-08-25,41
2013-09-01,49
2013-09-08,54
2013-09-15,40
2013-09-22,28
2013-09-29,56
2013-10-06,32
2013-10-13,22
2013-10-20,28
2013-10-27,27
2013-11-03,20
2013-11-10,55
2013-11-17,40
2013-11-24,33
2013-12-01,17
2013-12-08,31
2013-12-15,43
2013-12-22,24
2013-12-29,36
2014-01-05,31
2014-01-12,20
2014-01-19,39
2014-01-26,20
2014-02-02,47
2014-02-09,40
2014-02-16,38
2014-02-23,38
2014-03-02,31
2014-03-09,36
2014-03-16,35
2014-03-23,18
2014-03-30,58
2014-04-06,59
2014-04-13,46
2014-04-20,79
2014-04-27,41
2014-05-04,79
2014-05-11,81
2014-05-18,94
2014-05-25,63
2014-06-01,100
2014-06-08,43
2014-06-15,43
2014-06-22,32
2014-06-29,25
2014-07-06,47
2014-07-13,36
2014-07-20,54
2014-07-27,36
2014-08-03,49
2014-08-10,38
2014-08-17,24
2014-08-24,30
2014-08-31,67
2014-09-07,42
2014-09-14,34
2014-09-21,30
2014-09-28,57
2014-10-05,43
2014-10-12,22
2014-10-19,28
2014-10-26,34
2014-11-02,63
2014-11-09,51
2014-11-16,49
2014-11-23,23
2014-11-30,54
2014-12-07,19
2014-12-14,20
2014-12-21,23
2014-12-28,22
2015-01-04,28
2015-01-11,0
2015-01-18,39
2015-01-25,48
2015-02-01,28
2015-02-08,64
2015-02-15,32
2015-02-22,37
2015-03-01,66
2015-03-08,70
2015-03-15,38
2015-03-22,46
2015-03-29,51
2015-04-05,21
2015-04-12,63
2015-04-19,36
2015-04-26,85
2015-05-03,87
2015-05-10,50
2015-05-17,45
2015-05-24,21
2015-05-31,38
2015-06-07,36
2015-06-14,46
2015-06-21,23
2015-06-28,62
2015-07-05,46
2015-07-12,30
2015-07-19,47
2015-07-26,30
2015-08-02,46
2015-08-09,63
2015-08-16,67
2015-08-23,36
2015-08-30,30
2015-09-06,46
2015-09-13,39
2015-09-20,35
2015-09-27,44
2015-10-04,35
2015-10-11,56
2015-10-18,28
2015-10-25,61
2015-11-01,37
2015-11-08,55
2015-11-15,19
2015-11-22,30
2015-11-29,31
2015-12-06,26
2015-12-13,41
2015-12-20,29
2015-12-27,27
2016-01-03,32
2016-01-10,35
2016-01-17,78
2016-01-24,45
2016-01-31,39
2016-02-07,33
2016-02-14,53
2016-02-21,15
2016-02-28,49
2016-03-06,39
2016-03-13,50
2016-03-20,46
2016-03-27,51
2016-04-03,56
2016-04-10,50
2016-04-17,50
2016-04-24,33
2016-05-01,28
2016-05-08,57
2016-05-15,47
2016-05-22,58
2016-05-29,71
2016-06-05,29
2016-06-12,65
2016-06-19,81
2016-06-26,66
2016-07-03,29
2016-07-10,30
2016-07-17,48
2016-07-24,42
2016-07-31,36
2016-08-07,51
2016-08-14,38
2016-08-21,31
2016-08-28,45
2016-09-04,41
2016-09-11,78
2016-09-18,31
2016-09-25,17
2016-10-02,39
2016-10-09,45
2016-10-16,62
2016-10-23,69
2016-10-30,44
2016-11-06,47
2016-11-13,22
2016-11-20,54
2016-11-27,32
2016-12-04,21
2016-12-11,31
2016-12-18,41
2016-12-25,35
2017-01-01,30
2017-01-08,29
2017-01-15,28
2017-01-22,30
2017-01-29,48
2017-02-05,32
2017-02-12,55
2017-02-19,41
2017-02-26,53
2017-03-05,34
2017-03-12,30
2017-03-19,46
2017-03-26,81
2017-04-02,50
2017-04-09,53
2017-04-16,41
2017-04-23,45
2017-04-30,66
2017-05-07,47
2017-05-14,55
2017-05-21,39
2017-05-28,40
2017-06-04,60
2017-06-11,44
2017-06-18,65
2017-06-25,47
2017-07-02,37
2017-07-09,45
2017-07-16,44
2017-07-23,45
2017-07-30,67
2017-08-06,38
2017-08-13,45
2017-08-20,21
2017-08-27,26
2017-09-03,26
2017-09-10,36
2017-09-17,51
2017-09-24,72
2017-10-01,40
2017-10-08,40
2017-10-15,51
2017-10-22,56
2017-10-29,15
2017-11-05,70
2017-11-12,50
2017-11-19,48
2017-11-26,29
2017-12-03,35
2017-12-10,20
2017-12-17,32
2017-12-24,37
