Category: All categories

Week,mold allergy: (United States)
2013-01-06,57
2013-01-13,53
2013-01-20,52
2013-01-27,67
2013-02-03,45
2013-02-10,42
2013-02-17,59
2013-02-24,65
2013-03-03,57
2013-03-10,58
2013-03-17,55
2013-03-24,62
2013-03-31,61
2013-04-07,53
2013-04-14,55
2013-04-21,52
2013-04-28,59
2013-05-05,52
2013-05-12,58
2013-05-19,49
2013-05-26,46
2013-06-02,50
2013-06-09,77
2013-06-16,69
2013-06-23,74
2013-06-30,74
2013-07-07,82
2013-07-14,58
2013-07-21,89
2013-07-28,85
2013-08-04,100
2013-08-11,86
2013-08-18,89
2013-08-25,70
2013-09-01,91
2013-09-08,73
2013-09-15,72
2013-09-22,74
2013-09-29,83
2013-10-06,64
2013-10-13,74
2013-10-20,82
2013-10-27,71
2013-11-03,65
2013-11-10,79
2013-11-17,61
2013-11-24,63
2013-12-01,56
2013-12-08,42
2013-12-15,49
2013-12-22,47
2013-12-29,54
2014-01-05,54
2014-01-12,60
2014-01-19,50
2014-01-26,43
2014-02-02,50
2014-02-09,50
2014-02-16,70
2014-02-23,54
2014-03-02,49
2014-03-09,49
2014-03-16,50
2014-03-23,66
2014-03-30,58
2014-04-06,48
2014-04-13,45
2014-04-20,38
2014-04-27,51
2014-05-04,46
2014-05-11,52
2014-05-18,52
2014-05-25,54
2014-06-01,51
2014-06-08,54
2014-06-15,61
2014-06-22,67
2014-06-29,66
2014-07-06,69
2014-07-13,68
2014-07-20,60
2014-07-27,58
2014-08-03,79
2014-08-10,71
2014-08-17,55
2014-08-24,58
2014-08-31,63
2014-09-07,63
2014-09-14,58
2014-09-21,57
2014-09-28,56
2014-10-05,68
2014-10-12,76
2014-10-19,70
2014-10-26,64
2014-11-02,68
2014-11-09,62
2014-11-16,51
2014-11-23,42
2014-11-30,42
2014-12-07,46
2014-12-14,44
2014-12-21,45
2014-12-28,47
2015-01-04,42
2015-01-11,55
2015-01-18,53
2015-01-25,48
2015-02-01,37
2015-02-08,54
2015-02-15,38
2015-02-22,41
2015-03-01,50
2015-03-08,62
2015-03-15,60
2015-03-22,54
2015-03-29,50
2015-04-05,56
2015-04-12,50
2015-04-19,71
2015-04-26,60
2015-05-03,57
2015-05-10,62
2015-05-17,62
2015-05-24,53
2015-05-31,65
2015-06-07,49
2015-06-14,57
2015-06-21,61
2015-06-28,69
2015-07-05,61
2015-07-12,58
2015-07-19,66
2015-07-26,67
2015-08-02,56
2015-08-09,63
2015-08-16,60
2015-08-23,61
2015-08-30,70
2015-09-06,66
2015-09-13,69
2015-09-20,61
2015-09-27,76
2015-10-04,78
2015-10-11,55
2015-10-18,70
2015-10-25,51
2015-11-01,66
2015-11-08,58
2015-11-15,61
2015-11-22,33
2015-11-29,52
2015-12-06,41
2015-12-13,55
2015-12-20,50
2015-12-27,58
2016-01-03,49
2016-01-10,56
2016-01-17,40
2016-01-24,51
2016-01-31,50
2016-02-07,34
2016-02-14,39
2016-02-21,48
2016-02-28,49
2016-03-06,48
2016-03-13,49
2016-03-20,44
2016-03-27,46
2016-04-03,51
2016-04-10,45
2016-04-17,36
2016-04-24,44
2016-05-01,48
2016-05-08,50
2016-05-15,43
2016-05-22,55
2016-05-29,68
2016-06-05,55
2016-06-12,41
2016-06-19,50
2016-06-26,58
2016-07-03,55
2016-07-10,66
2016-07-17,62
2016-07-24,58
2016-07-31,67
2016-08-07,54
2016-08-14,73
2016-08-21,75
2016-08-28,86
2016-09-04,72
2016-09-11,80
2016-09-18,67
2016-09-25,78
2016-10-02,74
2016-10-09,53
2016-10-16,63
2016-10-23,61
2016-10-30,63
2016-11-06,60
2016-11-13,59
2016-11-20,35
2016-11-27,47
2016-12-04,42
2016-12-11,36
2016-12-18,42
2016-12-25,50
2017-01-01,58
2017-01-08,49
2017-01-15,52
2017-01-22,56
2017-01-29,40
2017-02-05,53
2017-02-12,41
2017-02-19,61
2017-02-26,51
2017-03-05,50
2017-03-12,43
2017-03-19,54
2017-03-26,52
2017-04-02,46
2017-04-09,50
2017-04-16,50
2017-04-23,51
2017-04-30,64
2017-05-07,48
2017-05-14,45
2017-05-21,57
2017-05-28,69
2017-06-04,67
2017-06-11,60
2017-06-18,59
2017-06-25,58
2017-07-02,62
2017-07-09,63
2017-07-16,68
2017-07-23,51
2017-07-30,70
2017-08-06,68
2017-08-13,68
2017-08-20,52
2017-08-27,67
2017-09-03,75
2017-09-10,65
2017-09-17,78
2017-09-24,88
2017-10-01,74
2017-10-08,90
2017-10-15,78
2017-10-22,67
2017-10-29,59
2017-11-05,57
2017-11-12,77
2017-11-19,47
2017-11-26,49
2017-12-03,44
2017-12-10,48
2017-12-17,45
2017-12-24,34
