Category: All categories

Week,ragweed allergy: (United States)
2013-01-06,3
2013-01-13,4
2013-01-20,3
2013-01-27,3
2013-02-03,7
2013-02-10,3
2013-02-17,5
2013-02-24,5
2013-03-03,7
2013-03-10,4
2013-03-17,7
2013-03-24,7
2013-03-31,8
2013-04-07,6
2013-04-14,5
2013-04-21,9
2013-04-28,9
2013-05-05,11
2013-05-12,9
2013-05-19,9
2013-05-26,5
2013-06-02,10
2013-06-09,8
2013-06-16,9
2013-06-23,6
2013-06-30,7
2013-07-07,8
2013-07-14,12
2013-07-21,13
2013-07-28,16
2013-08-04,29
2013-08-11,37
2013-08-18,59
2013-08-25,71
2013-09-01,100
2013-09-08,82
2013-09-15,70
2013-09-22,59
2013-09-29,51
2013-10-06,40
2013-10-13,29
2013-10-20,19
2013-10-27,17
2013-11-03,15
2013-11-10,12
2013-11-17,8
2013-11-24,8
2013-12-01,4
2013-12-08,4
2013-12-15,4
2013-12-22,3
2013-12-29,3
2014-01-05,5
2014-01-12,8
2014-01-19,5
2014-01-26,4
2014-02-02,4
2014-02-09,5
2014-02-16,6
2014-02-23,5
2014-03-02,6
2014-03-09,6
2014-03-16,5
2014-03-23,9
2014-03-30,5
2014-04-06,8
2014-04-13,10
2014-04-20,10
2014-04-27,7
2014-05-04,10
2014-05-11,9
2014-05-18,7
2014-05-25,9
2014-06-01,8
2014-06-08,14
2014-06-15,8
2014-06-22,7
2014-06-29,10
2014-07-06,14
2014-07-13,9
2014-07-20,13
2014-07-27,17
2014-08-03,34
2014-08-10,37
2014-08-17,61
2014-08-24,70
2014-08-31,76
2014-09-07,56
2014-09-14,57
2014-09-21,58
2014-09-28,52
2014-10-05,50
2014-10-12,31
2014-10-19,31
2014-10-26,22
2014-11-02,16
2014-11-09,13
2014-11-16,8
2014-11-23,7
2014-11-30,5
2014-12-07,4
2014-12-14,4
2014-12-21,3
2014-12-28,7
2015-01-04,3
2015-01-11,4
2015-01-18,3
2015-01-25,5
2015-02-01,5
2015-02-08,4
2015-02-15,5
2015-02-22,5
2015-03-01,4
2015-03-08,7
2015-03-15,8
2015-03-22,4
2015-03-29,12
2015-04-05,10
2015-04-12,9
2015-04-19,11
2015-04-26,11
2015-05-03,17
2015-05-10,12
2015-05-17,9
2015-05-24,17
2015-05-31,9
2015-06-07,9
2015-06-14,10
2015-06-21,5
2015-06-28,12
2015-07-05,9
2015-07-12,9
2015-07-19,11
2015-07-26,14
2015-08-02,25
2015-08-09,30
2015-08-16,46
2015-08-23,63
2015-08-30,81
2015-09-06,64
2015-09-13,73
2015-09-20,68
2015-09-27,47
2015-10-04,39
2015-10-11,41
2015-10-18,29
2015-10-25,18
2015-11-01,11
2015-11-08,12
2015-11-15,5
2015-11-22,10
2015-11-29,4
2015-12-06,5
2015-12-13,7
2015-12-20,6
2015-12-27,8
2016-01-03,5
2016-01-10,7
2016-01-17,3
2016-01-24,7
2016-01-31,5
2016-02-07,6
2016-02-14,6
2016-02-21,8
2016-02-28,5
2016-03-06,6
2016-03-13,6
2016-03-20,9
2016-03-27,6
2016-04-03,7
2016-04-10,7
2016-04-17,14
2016-04-24,9
2016-05-01,7
2016-05-08,10
2016-05-15,11
2016-05-22,11
2016-05-29,11
2016-06-05,8
2016-06-12,5
2016-06-19,5
2016-06-26,11
2016-07-03,8
2016-07-10,9
2016-07-17,13
2016-07-24,19
2016-07-31,13
2016-08-07,20
2016-08-14,22
2016-08-21,55
2016-08-28,62
2016-09-04,89
2016-09-11,83
2016-09-18,69
2016-09-25,48
2016-10-02,39
2016-10-09,33
2016-10-16,25
2016-10-23,18
2016-10-30,14
2016-11-06,8
2016-11-13,10
2016-11-20,10
2016-11-27,8
2016-12-04,4
2016-12-11,3
2016-12-18,4
2016-12-25,6
2017-01-01,4
2017-01-08,8
2017-01-15,7
2017-01-22,6
2017-01-29,7
2017-02-05,5
2017-02-12,7
2017-02-19,8
2017-02-26,8
2017-03-05,8
2017-03-12,7
2017-03-19,6
2017-03-26,7
2017-04-02,11
2017-04-09,11
2017-04-16,8
2017-04-23,15
2017-04-30,12
2017-05-07,9
2017-05-14,11
2017-05-21,12
2017-05-28,9
2017-06-04,8
2017-06-11,7
2017-06-18,7
2017-06-25,6
2017-07-02,8
2017-07-09,19
2017-07-16,13
2017-07-23,19
2017-07-30,26
2017-08-06,26
2017-08-13,34
2017-08-20,53
2017-08-27,76
2017-09-03,85
2017-09-10,88
2017-09-17,77
2017-09-24,72
2017-10-01,52
2017-10-08,42
2017-10-15,38
2017-10-22,35
2017-10-29,21
2017-11-05,12
2017-11-12,10
2017-11-19,10
2017-11-26,8
2017-12-03,8
2017-12-10,7
2017-12-17,6
2017-12-24,4
